title,desc
She's The One (2013),A television hosts wakes up to her true desires when his best friend's video goes viral.
Bekikang: Ang Nanay Kong Beki (2013),"Bekikang is left and abandoned with a baby boy by friend, Fortunato. He loves and raises the child as his own flesh and blood. When things are going so well between Bekikang and the child, Fortunato and the mother of the child after years of absence reappear to take the child back."
Status: It's Complicated! (2013),"The movie is inspired by the 1979 classic sexy-comedy film Salawahan directed by Ishmael Bernal whom originally stars Rita Gomez, Mat Ranillo, Jay Ilagan, Rio Locsin, Sandy Andolong, and Bonching Miraflor."
Shift (2013),"Estela, an idealistic, call center slacker is mentored by Trevor, a pragmatic, senior agent. Their interaction develops into an unconventional relationship that would challenge their most personal convictions."
Blue Bustamante (2013),A father who works abroad as an OFW ends up secretly playing a superhero role in a Japanese TV show.
Philippino Story (2013),"Philip and Bastian are lovers. Philip has taken the responsibility to help his older brother’s family in the slums. However, when Bastian pursues painting and can no longer provide for Philip, Philip resorts to hustling in order to help his brother’s family. When Bastian catches Philip being picked up by a gay man in a car, he decides to keep everything inside. Can Philip and Bastian’s love prevail despite the odds?"
Call Center Girl (2013),"In her bouts to help her daughter, Teresa accidently lands on a call center job where Regina is employed, giving her a chance (or is it really?) to rekindle her relationship with her daughter. In the call center, she meets people coming from different walks of life; fun-loving Richie, young-living Lolay, prim and proper Martin, and their monster Team Leader Vince."
When the Love Is Gone (2013),"When the Love Is Gone is a 2013 Filipino romantic drama film directed by Andoy Ranay, starring Cristine Reyes, Gabby Concepcion, Alice Dixson, Andi Eigenmann, and Jake Cuenca. The film is distributed by Viva Films with co-production of Multivision Pictures and was released November 27, 2013 nationwide as part of Viva Films' 32nd anniversary. The movie is a remake of the 1983 blockbuster movie directed by Danny Zialcita entitled Nagalit ang Buwan sa Haba ng Gabi which stars Dindo Fernando, Gloria Diaz, Laurice Guillen, and Eddie Garcia."
10000 Hours (2013),"Senator Gabriel Alcaraz is preparing to deliver a privilege speech alleging corruption in the highest levels of government. On his way to the Senate, he gets wind of a plot against him. The police seek to arrest him for his part in an operation decades ago. Suspecting that the administration isn’t willing to give him a fair trial, Alcaraz goes into hiding abroad, hoping to find a way to clear his name and eventually return to his family. Back home, an old colleague is put in charge of finding him, and his family suffers under the pressure of public scrutiny."
Boy Golden: Shoot-To-Kill (2013),"The film is very, very loosely based on the life of Arturo Porcuna (Jeorge Estregan). Once upon a time, he was known as Boy Anino, notorious leader of the Bahala Na gang. But rival gangster Tony Razon (John Estrada) attacked him in his home, leaving his entire gang and his family dead in the ruins. But Porcuna survived, and now he returns under a new alias, Boy Golden, and he seeks revenge against those that did him wrong. Along the way, he meets Marla D (KC Concepcion), a dancer who also has a bone to pick with Razon. Together, the two carry out a dangerous plan to take on Manila’s toughest gangsters."
"Girl, Boy, Bakla, Tomboy (2013)","Quadruplet siblings (two boys and two girls) played by Vice Ganda were separated after birth when their grandmother steals two of the siblings (a boy and a girl) away from their mother. The stolen siblings lived a comfortable life in the US, not knowing that their mother and siblings, a gay and a lesbian, struggled to make ends meet in the Philippines. When the boy develops hepatitis that requires him to have a liver transplant from a compatible donor, their father tells them about their siblings in the Philippines, who may be possible candidates as donors. But once the siblings finally meet, pent up resentment and animosity between the girl and the gay siblings, has threatened the chances of the boy sibling's survival."
Astray (2014),"An unrequited love story between a free-spirited woman who openly expresses her affection to a younger shy woman who, in turn, struggles with her own feelings."
Bride for Rent (2014),"On the eve of his 25th birthday, the day he’s set to receive money from his trust fund, Rocco parties, gets drunk and loses all his money on a poker match. His dilemma: He has to produce the amount, otherwise he will lose the client he needs to defeat his father’s TV commercial production company. Meanwhile, Rocky also needs money to pay the rent, otherwise her family will be homeless. There’s only one way for Rocco to be able to get money from his trust fund: Fulfill the conditions set by his grandmother and that is to get married. Rocky agrees to act as Rocco’s pseudo wife in exchange for a “talent fee.” They seal the deal. As they live like a married couple, Rocco and Rocky face one problem after another, forcing them with no alternative but to reconcile their differences and work with each other. Complication arises when they start to feel for each other, with their bond getting closer."
ABNKKBSNPLAKo?! (2014),"ABNKKBSNPLako?! The Movie follows the timeline of writer Bob Ong's school days, the main concept is to reminiscent the unforgettable memories of the old high school life."
Starting Over Again (2014),"Ten years ago, Ginny, an Architecture student, and Marco, a History professor, began a one-of-a-kind and unpredictable love story. In the five years that they were together, they brought out the best in each other, which included Marco’s unrealized dream of becoming a chef. Together, they worked towards their dream of opening up a restaurant, but when Ginny realized her own pursuits were different from his, she rejected his wedding proposal and left the country for a Masters degree in Architecture. At present, Ginny co-owns a one-stop Architecture and Interior Design firm specializing in Restoration. She receives an email from Marco, which was written and sent after their break-up, meant to be read four years later. It makes her feel even more regretful of leaving the love of her life."
Third Eye (2014),"A young woman's supernatural ability to see ghosts is reawakened following the death of her mother. As she adjusts to her new, deathly surroundings, she and her loved ones become the target of some ill-meaning individuals."
Geography Lessons (2014),"Before leaving Pampanga for good, Tib Apostol finds himself looking for his best friend Tric Torres back in high school. Guided by a map his best friend made for him, Tib attempts to visit each place around his hometown to retrace memories of his friendship with Tric."
Stone Heart (2014),"“Pusong Bato” (Stone Heart) is about Cinta Dela Cruz, a middle-aged faded actress who tries to relive and remember her glorious days as a movie star in the 1970s. She does this by watching films at home everyday until one day, during an earthquake; something breaks into her window and wakes her up from her Hollywood dream."
Diary ng Panget (2014),"A young woman takes a job as a personal maid for a rich young man. The pair do not get along, but soon due to their classmates' games of love, their relationship grows more complicated than before."
Da Possessed (2014),"A cowardly man unwittingly unleashes three spirits seeking revenge against the family he works for. The spirits take turns taking over his body, causing all sorts of mischief along the way."
Maybe This Time (2014),"""Steph Asuncion and Tonio Bugayong were once in love. Back then, she was a young girl who wanted a simple life and he was older, more ambitious than she was. Tonio was a small town guy who wants to board a ship to provide for his family’s furniture business. Sarah was a Manila girl who spends the summer in the province for community service. What might have been a sweet relationship ended sourly when Tonio left without saying goodbye. Steph was heartbroken and it taught her to dream bigger to be worthy of love. Will their paths cross again? Will they overcome the pains of the past to give love a second chance? This is a story between two people who will be reminded about the importance of being true to one’s self in order for true love to happen."""
My Illegal Wife (2014),"Clarise, an OFW mother in Japan, and her desire to have a husband and father for her children. One day, Clarise bumps into Henry, ridiculed and rejected. Then, they meet again in a plane going back to the Philippines. Here, an accident happens. Clarise wakes up and finds herself in an island with Henry, who now has amnesia. Clarise takes advantage of the situation and introduces herself as his wife. She makes him believe that they have been married in Japan and they are on their way to the Philippines to get married in church. After being saved, Clarise then introduces Henry to her family and friends. Will Henry learn to really love Clarise? Or, will Henry find the truth about Clarise's lies? What if Henry learns that Clarise is his ""illegal wife?"""
She's Dating the Gangster (2014),"Seventeen-year-old Athena Dizon unwittingly plays a trick on resident heartthrob and bad boy Kenji de los Reyes. All of a sudden, she finds herself pretending to be his girlfriend to make an ex jealous; however, she falls in love with him."
Trophy Wife (2014),"A woman falls in love with a man, but is wronged by him and his brother. She then tries to exact revenge on him, his brother and his new lover."
Grandmother (2014),"It's Christmas time, and a grandmother spends a quiet afternoon tending to the family chores. But the arrival of an unexpected visitor brings with her some deadly consequences."
"K'na, The Dreamweaver (2014)","When Kana, a young T'boli woman, becomes a dreamweaver, she has the chance to weave together her village's warring clans. But, will she give up true love to do so?"
Macabre en Pointe (2014),A struggle between a painter and his work.
Patrol (2014),A policewoman roams the city of Manila to fulfill her duties as a police patrol to look for her son.
Sparks (2014),"While the marriage of two professors is on the verge of falling apart, the woman is dragged into a scandal involving a young student. On the other hand, the man falls in love with the subject of his research—a deity that appears to him as the ghost of an old flame."
Once A Princess (2014),A high school princess is cursed by the geek whose affections she toyed with.
The Gifted (2014),Childhood best friend with a genius IQ become bittersweet rivals when they both fall for Mark.
"Bontok, Rapeless (2014)","Two Filipina victims of sexual abuse search the truth behind the finding of a renowned anthropologist: that merely a few generations ago, the Bontok Igorot lived in what seems an unthinkable utopia—a rape-less society."
Beauty in a Bottle (2014),The lives of three women change when a new beauty product arrives.
Ang Nanay ni Justin Barber (2014),"Cynthia Barber's son, Justin dreams of becoming a famous pop singer, and she will do everything to make her son's dream come true, the only problem is... her son has no talent at all! The tall price of fame may be expensive, but it's very affordable for the mother of Justin Barber."
In the Name of Ultimate Warrior (2014),"Seven-year-old Jolo is a fanboy of wrestling icon Ultimate Warrior. When rumors started to spread that the champion wrestler died from a match, the kid's world started to collapse."
Lorna (2014),"Lorna is sixty year old woman who is constantly searching for the right man, having failed at so many relationships. Having lived close to a lifetime alone, she decides to take another stab at moving on and more importantly, love."
Porferia (2014),"Porferia, who is 9 months pregnant, and her husband Felix, are abducted by the military and wrongfully accused of insurgency. Porferia's wild imagination and unsinkable hope carry them through the ordeal of torture, leading to their eventual escape."
Red (2014),"Red, a shy orphan who spent most of his childhood in a girly bar, grew up to be the town's best fixer. When a rich kid was gunned down in a drug bust that went wrong, Red was hired by Art, a spoiled socialite, to fix the mess."
That Thing Called Tadhana (2014),A woman struggling to meet airline baggage requirements meets a man who comes to her aid. They form a friendship that helps them mend each other's hearts.
Seoul Mates (2014),"Alice is a thirty year old Filipino trans woman who flew to Korea to chase after her boyfriend who she discovers is now living with his new girlfriend. Joon is a twenty five year old Korean musician who is being pressured by his traditional parents to find a more stable job and girlfriend. At a bridge in the middle of Seoul, the two brokenhearted souls fatedly cross paths."
I Miss You (2014),"A hard-truth confrontation of mother and daughter about their separate existence after the tragic demise of the father two decades ago. A story of two women, one who wants to forget and the other still living in it."
Bonifacio: Ang Unang Pangulo (2014),"The true story of Andres Bonifacio, a man who rose as a leader in the fight against the Spanish oppressors, and would gain the enmity of even those fighting for the same cause."
Tragic Theater (2015),A team of exorcists are sent into an old theater that is rumored to have been the site of a great tragedy during its construction.
Waves (2015),"Waves is a romantic drama about the intimate relationship between Ross & Sofia - two old friends passionately in love yet life's cultural, geographical, and emotional obstacles get in the way."
Crazy Beautiful You (2015),A bad girl and a province boy found love in the state of being broken and in the process of healing.
Scarecrow (2015),The search for a missing watch instigates the painful quest for the truth in Belyn’s and her son’s life.
Your Place or Mine? (2015),One night with a total stranger. And fate brought them together once again. That's where their whirlwind romance started.
Binhi: The Seed (2015),"Daniel and Cynthia, a young couple with a child on the way, experience some hard times in Manila. They head back to Baguio, where Daniel is originally from, to start over again. Through the kindness of Alex, Daniel's well-to-do childhood friend, they get to stay in a large house, rent-free; and he gets a job offer as well. Everything seems to be falling into place for them - or so they think - until strange things start to happen in their house."
You're Still The One (2015),"Years after their college relationship fell apart, Jojo and Ellise meet again, but Jojo is already engaged to Racquel so Ellise decides to contain her feelings for Jojo to herself. The two remained as friends, constantly denying the feelings that they have for one another. Ellise starts dating Vincent but she will soon have to decide if she should choose the right love that came at the wrong time or the wrong love that came at the right time."
The Breakup Playlist (2015),"A story about an aspiring professional singer and a rock singer who collaborates in a song. As they work on their song, they start to develop feelings for each other."
Chain Mail (2015),"A usual chain mail is forwarded to a group of people. Some pass it while others ignore. One dies and is followed by series of sudden and unexplainable deaths of others. Soon after, a revelation begins to unfold, the chain mail is cursed and so she has to find the origin and mystery behind to stop the misfortunes it may cause to anyone who fails to pass it before another life perish again. Sandra also suspects Anne is behind the tragic incidents that happened to their friends. Will she break the curse before it's too late or will she become one of the victims?"
Sanctissima (2015),"Marrisa lives alone in the dark with an even darker secret. Her only contact to the outside world were her patients, who come and go, oblivious of whether the fetuses that Marisa extracts from them survive or not. A complication besetting one of her patients threatens Marisa’s reclusive world. She fights back to protect it."
The Love Affair (2015),"Often in the backseat and a second priority to her partner, a lawyer decides to end her relationship and focuses on herself with a help of a man out of her league."
Heneral Luna (2015),A Filipino general who believes he can turn the tide of battle in the Philippine-American war. But little does he know that he faces a greatest threat to the country's revolution against the invading Americans.
Walang Take Two (2015),"A frustrated, ambitious, self-centered and narcissistic filmmaker named Hapi has finally finished writing the screenplay of his first ever indie film which he believes is a masterpiece. Overeager, he enlists the help of his best friends, the comical Caloy and the voice of reason, Onyok, to make his dream movie. The only problem is, they have no budget to produce it.Residing in a poverty stricken community that is highly dependent on the Indian 5-6 cash loan system, which includes his own sister Rowena, Hapi, out of desperation, finally resorts to borrowing money from the community’s main Indian lender, Alfajor. However, things become worse for Hapi when his nemesis, the neighborhood midget thug named Oblax, steals his borrowed money. Deep in debt, burdened by his father, his dream movie project put on hold, and a seemingly bleak future with his current love interest, Cherry."
Felix Manalo (2015),Felix Yzagun Manalo is a sprawling historical epic that traces the origin of Iglesia Ni Cristo (The Church of Christ) which is established in the Philippines from its humble beginnings in 1914 through the present day.
The PreNup (2015),"Wendy and Sean meet on an airplane en route to New York. In a matter of days, they decide to get married."
Gayuma (2015),"A dark tale of fatal obsession and erotic passion, centers on a young student artist mesmerized by a beautiful and mysterious figure drawing model in his art school."
Matangtubig (2015),"A story of how a violent crime disrupts a quaint rural town in Batangas. A girl’s dead body is discovered and puts the whole town on trial while the former’s companion remains missing. The ensuing media spectacle slowly exposes the town’s secrets. As they celebrate its yearly festival by the lake, an unknowing sleeping evil unravels and haunts the townsfolk."
As One (2015),"A thriller about a never-ending war, a town ravaged by a devastating storm, and the woman caught in between."
Patintero: Ang Alamat ni Meng Patalo (2015),A young neighbourhood underdog or a “patalo” who assembles an unlikely team of losers to join her in the ultimate battle for the streets: patintero.
Water Lemon (2015),"A story set in a coastal Quezon town where the mundane lives of a grieving widow, her socially-handicapped son and a helpless grandfather interconnect to create bumps in their flatline lives."
Baka Siguro Yata (2015),An intertwined love stories within a dysfunctional extended family for three generations. It tells how each generation understands and perceives the idea of love.
Miss Bulalacao (2015),"A young drag queen, Dodong, who joins a barangay gay pageant to gain acceptance in his father’s community. He is instead met with hostility from his father, who chases him into a jungle, where he sobs to a lone bright star. What follows is the strangest night in his entire life, and an even stranger nine months when he realises he is pregnant. Dodong deals with ridicule from a barangay who does not believe him."
No Boyfriend Since Birth (2015),A wedding planner who's never been in a relationship courts romance as she re encounters a high school crush.
Wang Fam (2015),"A family of aswang attempt to transition into a living a more normal, less monstrous life."
Angela Markado (2015),"A young woman who has been emboldened by the tragedies and traumas she had to endure, such as rape and the death of her loved ones."
Manila's Finest (2015),Manila’s Finest is inspired and based on the life and career of retired Western Police District (WPD) Col. Jimmy Tiu who last served as the Sta. Mesa police station commander of WPD. The film focuses on the dual functions of a city policeman as he inter-acts with the people in his jurisdiction and as an intrepid cop battling criminal elements with guns blazing.
Tandem (2015),"In the traffic-laden streets of Metro Manila, two brothers use the chaos of the city roads as a smokescreen for their shady occupation tandem robbers on motorbike. But when a robbery goes sour, the brothers are forced to graduate from low level thieves to high profile hit men in an act that tests both their resolve and their relationship."
Beauty and the Bestie (2015),"For an important case, a policeman needs the help of his former best friend to impersonate the daughter of a foreign dignitary in a beauty pageant."
Nilalang (2015),An NBI agent teams up with the heiress to a transnational organized crime syndicate in Japan to put a stop to the centuries-old curse that might be responsible for the spate of serial killings happening in Manila.
Lumayo Ka Nga Sa Akin (2016),"Divided into three ""short films"", each one pokes fun to a particular genre. Episode 1: Bala Sa Bala, Kamao Sa Kamao, Satsat Sa Satsat. Episode 2: Shake, Shaker, Shakest. Episode 3: Asawa ni Marie."
Everything About Her (2016),"Powerful but ill-stricken business woman, Vilma Santos navigates her complicated relationship with her caregiver, Angel Locsin and her estranged son, Xian Lim in this story about acceptance, love and forgiveness."
Girlfriend for Hire (2016),"A rich young man hires his classmate to pretend to be his girlfriend to appease his father. Though it is meant to be purely a business arrangement, real sparks fly as they spend time together."
Love Is Blind (2016),"Wade is a spoiled bachelor, who turns his back on sassy girlfriend Maggie when he meets Fe, a hotel intern who looks so much like his ex-girlfriend. Unknown to Wade, Fe’s secret weapon is a love potion, which transforms her into Maggie’s character every time she and Wade meet."
Always Be My Maybe (2016),"After being dumped by their respective lovers, Jake and Tintin cross paths at a resort and discover they have much in common."
Sekyu (2016),A security guard jumps to the other side of the fence and turns to crime when his meager pay is not enough to keep his wife and children by his side. How far will he go to secure his future and what will he lose/gain on the way?
Luna (2016),"A girl going through puberty, sets out a strategic plan to do the one thing her mother has always forbidden her to do: cut off her own hair."
Oktopus (2016),"On the day of their friend’s funeral, three old ladies argue who’s going to die next."
Echorsis (2016),"A young hustler takes advantage of the love of a gay man, and pays consequences for it in the form of a demonic possession."
Just the 3 of Us (2016),"An unlikely love story between polar opposites Uno and CJ two strangers, and how one night changes their lives forever. Unforeseen circumstances collide and force Uno and CJ to live under the same roof as they both deal with their sense of responsibility and their yearning for security. Uno is motivated by his sense of family while CJ is governed by an unconditional love that should put her first above everything else. The unlikely thing that binds Uno and CJ together paves the way for them to find in each other the kind of love they never thought they needed."
This Time (2016),"Childhood friends Coby and Ava, who only see each other during summer vacations. As time passes, the characters develop feelings for each other but having a relationship long-distance is a great challenge for both."
"Pare, Mahal Mo Raw Ako (2016)",Two male best friends have their relationship tested when it turns out that one is in love with the other.
The Achy Breaky Hearts (2016),"Chinggay, a jewelry shop manager, is one of the single women in their 30’s who feels the pressure to find love. She goes out on dates with men but none of them seem to make the cut. You may blame her high standards but the pain from her previous relationship could also be affecting her judgment on men. Now, her love life is suffering a drought for seven years. Everything changes when suddenly, two men are interested to be with her. Ryan bought an engagement ring from Chinggay only to be rejected by his girlfriend. Chinggay helps Ryan to get back with his girlfriend but they end up losing the ring and becoming good friends. On the other hand, Chinggay’s ex-boyfriend Frank is persistent to redeem himself and to prove that he deserves a second chance with Chinggay. Chinggay finds herself torn between two kinds of love."
I Love You to Death (2016),"Two childhood friends who promised to love each other through thick and thin, in sickness and in health, for richer or for poorer. Something happens to my character Tonton he dies and resurrects just to fulfill the promise he made to Gwen."
Alipato: The Very Brief Life of an Ember (2016),"A bunch of 10-year-old kids rob pedestrians and kill without a mercy. But after a failed bank robbery, the dangerous game comes to an end with twenty years of imprisonment. After two decades, they are released but soon begin to disappear one by one."
How to Be Yours (2016),"A story about two people who met and fell in love. Niño, a sales agent who's bent on attaining stability and Anj, a self-taught cook who dreams of working in a high-end restaurant someday."
Gasping for Air (2016),"When his sister disappears after leaving their home in hopes of singing stardom, Luis tracks her down and discovers the grim reality of her whereabouts."
Camp for the Broken-Hearted (2016),A group of brokenhearted women end up at a resort that specializes in helping people ease their pain.
Barcelona: A Love Untold (2016),"Ely, a young man who can't get over Celine, his past love, meets Mia, a young woman who escaped from a painful past in the Philippines and is trying her luck to rebuild her life in Spain. They meet. They fall in love. But can they overcome the hurt of the past to have a future together?"
My Rebound Girl (2016),A young woman tired of being the rebound girl makes rules for herself to avoid that situation. But she is immediately challenged when she makes a connection with another heartbroken young man.
Sunday Beauty Queen (2016),"Beneath Hong Kong's glittering facade, Filipina domestic helpers work in relative anonymity and for near-slave wages. In a beauty pageant like no other, five helpers give themselves makeovers for a day and gleefully reclaim their dignity."
Unconscious Memory (2016),"Marinduque, an island province in the Philippines 172 kilometers south of Manila, is where the largest mining disaster in the country’s history occurred. MINA, an environmental activist trying to make ends meet financially, sets out on a journey to Marinduque to seek answers to the mining disaster. She joins a secret organization led by FRANCIS who feeds her confidential information regarding the people responsible for the tragedy."
Best. Partee. Ever. (2016),"Mikey, a young, discreet, gay man from the affluent class, spends five years in a city jail while hearing his case for drug pushing. Inside prison, Mikey holds back to adapt to the culture and stratification among inmates. Eventually, Mikey becomes a ‘Mayor’ (ring leader) to a group of gay inmates called “Gang-da”. Together, they thrive to survive the dangers of several gang riots, the mundane, and the decay of human dignity."
Superpsychocebu (2016),"A young man is on a quest to find a mythical strain of cannabis called the SUPERPSYCHOCEBU. Along the way, he meets characters that appear to have lost their minds after trying it, one of them even possessed by the Devil, at which point he starts questioning whether he’s in for some good weed or just one hell of a bad trip."
Women of the Weeping River (2016),Two women in a remote Muslim community confront an escalating blood feud and reach deep into themselves in hopes to undo the feud stretching back generations.
Padating (2016),"Kaye arrives at the airport in Pampanga where she waits for her estranged father to fetch her. Arriving late, her father tells her they have to wait for another arrival later that day. In those first few hours they spend together, how do they both attempt to get to know each other?"
Why Does Every Handsome Guy Have a Boyfriend?! (2016),"Kylie, a wedding planner, has had a string of boyfriends who have all turned out to be gays, including Benj. Eventually, the two became best friends and business partners. When Diego, Benj's childhood friend, resurfaces and asks them to plan his wedding, Kylie sets out to prove that she's right again--that Diego, is indeed another closet case. Will she succeed?"
Die Beautiful (2016),"Trisha, a Filipino transgender woman, suddenly dies while being crowned in a beauty pageant. Her last wish was to be presented as a different celebrity on each night of her wake, but her conservative father wants to bury her as a man."
The Escort (2016),"A young woman works as a secretary for a high class escort service, and is drawn into the intrigues of a client and the man who has fallen in love with her."
Baka Bukas (2016),"Alex is a 23 year old gay girl based in Manila. She is out to most people except her best friend Jess who she has been secretly in love with since they were kids. When Jess discovers the truth about Alex, they are forced to confront the feelings they have for each other."
Still (2016),"In a fishing village that’s been ravaged by a strong typhoon, the bond of twin brothers is disrupted by another young boy. Hilom follows the journey of the brothers, Andres and Gael, as they find healing against the harsh landscape of an island that’s also trying to recover."
Mano Po 7: Chinoy (2016),It shows the lives and relationship issues among the modern generation of Chinoys and how it isn't as perfect as it seems.
Vince & Kath & James (2016),"The film is based on Vince and Kath, an online series written by Jenny Ruth Almocera, which went viral, that told the story of two lovestruck teens, Vince and Kath, through text messages."
Extra Service (2017),"The story revolves on the amazing adventures of Aw, Em and Gee, who are mild-mannered massage therapists by day and sexy secret agents who solve crimes by night. They are then tasked to embark on a top-level secret mission to retrieve the precious “Perlas Ng Silangan” in exchange for their lives and freedom"
Manila Death Squad (2017),An ambitious journalist challenges the leader of a violent vigilante group to a high-stakes drinking game that may score her a scoop or a bullet to the head.
Angelito (2017),A short film about Antonio Luna’s aides-de-camp Jose and Manuel Bernal during the aftermath of Luna’s assassination.
"I'm Drunk, I Love You (2017)","Days before graduation, two college best friends go on one last road trip where they settle how they really feel for each other."
My Ex & Whys (2017),"Cali a blogger who owns the upcoming blog ""The Bakit List,"" and her ex Gio who will return to her life unexpectedly and surprisingly."
Maybe Aliens (2017),"After losing both parents, two brothers search the skies for solace and clarity. Could the answer be really out of this world?"
Can't Help Falling in Love (2017),Gab de la Cuesta is a high-strung career woman who got recently engaged to her longtime boyfriend. Her well-planned life suddenly becomes complicated when she discovers that she is actually married to a total stranger.
Luck at First $ight (2017),"Joma believes that a ""life charm"" would help him win money for his debts. He then accidentally meets Diane who gives him luck after they’ve been close to each other. Everything goes well for both of them until they discover their luck will disappear if one of them falls for the other."
Bliss (2017),"After she gets into a film-production accident that leaves her crippled, successful actress Jane Ciego slowly transitions into madness after experiencing horrors and torture in her own home."
Can We Still Be Friends? (2017),"Digs a no fuss, no frills kind of guy and idealistic achiever Sam who are friends turned lovers turned exes. Their relationship as a couple lasted for almost eight years until they both decided on an amicable breakup."
Bloody Crayons (2017),A group of friends goes to an island for a short film project when they are attacked by a mysterious killer after playing a game of bloody crayons.
Finally Found Someone (2017),"Aprilyn who is left by his groom on the day of their wedding becomes viral online. Devastated, she meets Raffy who works at a PR agency hired by the father of the groom who will help her move on."
Maria (2017),"When the whole family confronted her 14-year-old daughter of a suspected pregnancy, a 50-year-old woman gives birth to her 20th child."
Requited (2017),An ailing biker takes to the rail for one last adventure that pits him against nature and the woman he desires.
Bar Boys (2017),"The misadventures of three young men who try their luck in the college of law. As their friendship, families, relationships and convictions are brought to breaking point, they must keep their heads and emotions together as they prepare for the big day."
Seven Sundays (2017),"The Bonifacio siblings reunite when they find out their father is diagnosed with cancer. In the process, they have to deal with unresolved issues among themselves before it's too late."
Mga Gabing Kasinghaba Ng Hair Ko (2017),"At night, Manila’s red light Burgos district starts shining and its shops get busy welcoming tourists and women from different countries. The life of Tuesday, Amanda and Barbie is also here. Providing sexual services, the three transgender women are close friends. Tuesday hopelessly longs for romantic love. Wise Amanda visits her hometown to attend her ex-girlfriend’s son’s christening. She told her family that she works for a bank and her parents have been renovating their home with her money. To her parents, she is a great son or daughter. To her friends, she is an object of both envy and temptation. Recklessly ambitious Barbie tries to make money through drug dealing, but she feels threatened by dangers hidden everywhere. Pursuing love, success and dreams, their lives become part of a confusing night."
Smaller and Smaller Circles (2017),A serial killer in Payatas leaves the bodies of young boys in the dump as two Jesuit priests try to solve the murders.
Dormitoryo: Mga Walang Katapusang Kwarto (2017),"Charles, an engineering student with an eye for beauty, just returned from school to a dormitory owned by Aling Linda, a strict, lonesome widow. Other occupants of the dorm include Max–now on his 7th year in college, Sheen–his reluctant partner, Steven–a social entrepreneur, Ramon–his cop lover, Alex–a call center agent, and Jenny–his attentive girlfriend. They all spend the evening tucked away in solitary rooms, talking about collective experiences, sharing a similar fate. And rent is due."
Medusae (2017),A documentarist’s son goes missing when she films a story on the disappearances of the firstborns in a remote island.
Neomanila (2017),"Toto, a teenage orphan, is recruited by a notorious death squad. Irma, the groups leader, soon becomes a maternal figure to the young boy. As the two form a familial bond, their loyalties will be put to the test when one of their targets turns out to be a familiar face."
From the Dark Depths (2017),"A woman mourns the drowning of a young activist that took place years ago. She sinks into herself and recreates a story that coalesces memory, delirium, and forgetting."
Guerrero (2017),The story centers on the close relationship between two brothers the boxer Ramon and 10-year-old Miguel.
Unexpectedly Yours (2017),"Two former high school friends Patty and Cocoy find each other unexpectedly 30 years later, not only as organizers of their high school reunion, but also as new neighbors. Patty and her daughter Yanni's quiet lives then get an unexpected shake-up when love—in the form of Cocoy and his nephew Jason —comes knocking on their door."
We Forgot About the Children (2017),A short animated film about Martial Law in the Philippines.
My Perfect You (2018),"Burn, a man who’s down in the dumps, and Abi, the girl who helps him see the light again. Will they find the perfect love for them or will they have to fave heartbreak again?"
Never Not Love You (2018),It tells the story of young lovers who tries to build a life together until career opportunities sends them to a different country where their relationship will be tested.
DOTGA: Da One That Ghost Away (2018),"Wanting to save the house of her beloved grandmother from being sequestered, paranormal expert Carmel Monseratt and her “bebest” best friend Jerald “Jeje” Zee-Yan have decided to form a squad of ghost busters with their misfits buddies in order to meet both ends."
Saint Nena! (2018),"Santa Nena, a patron saint statue that springs to life every night, suddenly falls in love with a teenager even though God forbids her."
Still Young (2018),"After the Tubong, a welcome ceremony performed in Marinduque, 10-year-old Pablo tries to pursue his long-time crush whom he hasn't seen in a long time."
The Wedding (2018),Lia is set to marry Cebu's most eligible bachelor and mayoral candidate Philip. Conflict begins when Lia's ex boyfriend Wado works for them in a project that will potentially help Philip win the elections.
Sid & Aya: Not a Love Story (2018),"Sid is a guy who suffers from insomnia. Through the many lonely nights, he meets Aya. Who is she, really? And how will she change Sid’s life?"
"I Love You, Hater (2018)","Joko is a boy trying to help his family survive, while Zoey is a girl hoping to prove herself to the world. Opportunity rises when Sasha is looking to hire a new personal assistant. Just one catch - they have to compete against each other! Will their own goals prevail, or will they set aside their differences and find true happiness and love in the end?"
Kusina Kings (2018),"Despite obvious differences, easy-go-lucky kitchen naive Ronnie (Zanjoe Marudo) and chef restaurateur Benjie (Empoy Marquez) have been best friends since high school. When Benjie decided to put up his own restaurant La Luna Sa Hungry, Ronnie has never left his side – especially now that Benjie has joined in the shady “Kusina King Challenge” to save the restaurant."
Liway (2018),The true story of a young mother who uses story-telling to protect her child from the reality of growing up in prison and the difficult life she endured.
ML (2018),"Carlo, an unapologetically millennial college jock, thinks that Martial Law wasn’t all that bad. No one in his family had anything bad to say about it, all he’s ever read are online posts on human rights violations. Confronted by a frustrated History professor, Carlo sets out to prove he is right and looks for someone who lived through that period to tell the tale."
The Day After Valentine's (2018),"Kai, a distraught man meets Lani, a strong, confident woman who seems to have answers to all of life’s most difficult questions. Kai realizes that with Lani's wisdom and 'go-get' attitude, he may be able to fix everything in his life."
Alimuom (2018),"In the future, farming on Earth is outlawed due to the toxic environment and all agriculture is done off-world. But despite the ban, some scientists and farmers resist."
Ophelia (2018),A depressed college student wants to seek psychiatric help from her parents but they have other plans in mind
To Remain is to Have Been Left (2018),A woman about to jump off a building gets caught in an unending time loop
